   31.20	   18.00	   18.00	    5.57
   30.80	   11.00	   10.00	    2.53
   33.90	   15.00	   14.00	    3.59
   27.60	   10.00	   10.00	    2.72
   33.00	   18.00	   16.00	    4.45
   29.20	   11.00	    8.00	    2.30
   31.50	   19.00	   16.00	    4.67
   30.20	   10.00	    9.00	    2.78
   29.00	   11.00	   11.00	    2.88
   30.10	    8.00	    7.00	    1.78
   29.00	    7.00	    8.00	    2.16
   29.50	   12.00	   10.00	    2.99
   28.80	   12.00	    9.00	    2.89
   28.50	    7.00	    5.00	    1.23
   32.20	    3.00	    7.00	    1.92
   34.20	    9.00	    9.00	    3.02
   28.20	   11.00	   10.00	    3.00
   31.20	   13.00	   12.00	    3.45
   28.70	   12.00	   10.00	    3.14
   32.80	   11.00	    5.00	    1.80
   33.00	   20.00	   19.00	    5.56
   32.50	   14.00	   12.00	    3.42
   34.00	   16.00	   17.00	    3.90
   33.00	   14.00	   14.00	    4.20
   32.00	   15.00	   14.00	    3.84
   33.00	   28.00	   31.00	    6.19
   27.50	   10.00	   10.00	    2.69
   34.00	   10.00	   10.00	    3.30
   34.50	   14.00	   15.00	    4.25
   35.50	   21.00	   21.00	    5.39
   30.80	   15.00	   11.00	    3.28
   28.50	   22.00	   23.00	    6.03
   30.50	   16.00	   14.00	    3.85
   33.50	   20.00	   19.00	    5.97
   31.50	   17.00	   16.00	    4.53
   27.00	   10.00	   10.00	    2.50
   28.50	   12.00	   10.00	    2.79
   29.50	   11.00	   11.00	    3.15
   34.00	   12.00	   12.00	    2.75
   33.30	   12.00	   10.00	    2.74
